TU_ID	Gene_name	Start	End	Strand	Expression_E	Description
2	talB	8191	9225	+	66,5513903	talB
5	dnaK-tpke11-dnaJ	12123	15297	+	126,7305188	dnaK-tpke11-dnaJ
10	rpsT	20771	21119	-	222,7969349	rpsT
29	lptD	54755	57155	-	38,01986111	lptD
60	ftsZ	104636	106455	+	34,70111783	ftsZ
63	lpxC	106508	107543	+	96,70853462	lpxC
70	pdhR-aceEF-lpd	122034	129393	+	52,30377612	pdhR-aceEF-lpd
71	aceEF	122969	127618	+	46,48990595	aceEF
72	lpd	127717	129393	+	96,89134419	lpd
73	acnB	131564	134211	+	64,30764387	acnB
92	dksA-gluQ	159186	160656	-	56,59183673	dksA-gluQ
109	tff-rpsB-tsf	189712	191737	+	189,8740362	tff-rpsB-tsf
119	accA	208326	209579	+	39,90822027	accA
139	pepD	254259	255736	-	60,93048973	pepD
146	phoE	258269	259381	-	180,8511325	phoE
161	phoA-psiF	400931	402824	+	67,00108805	phoA-psiF
177	tsx	430320	431314	-	149,0955734	tsx
185	cyoABCDE	446039	450876	-	59,32087888	cyoABCDE
190	tig	454217	455654	+	330,1354674	tig
192	clpPX	455829	457978	+	47,60912052	clpPX
197	hupB	460619	461001	+	277,1038394	hupB
205	ppiD	461043	463009	+	37,82163445	ppiD
220	htpG	494308	496252	+	69,25257202	htpG
223	adk	496363	497042	+	33,97383891	adk
244	nmpC	574981	576092	-	53,95976985	nmpC
249	ompT	583903	584887	-	124,1989684	ompT
268	ahpCF	637916	640540	+	128,4563008	ahpCF
271	ahpF	638225	640540	+	44,41076545	ahpF
280	cspE	658794	659044	+	541,304	cspE
299	fur	711706	712259	-	86,75647981	fur
303	uof-fur	711706	712372	-	72,78378378	uof-fur
305	fldA-uof-fur	711706	713064	-	50,10186549	fldA-uof-fur
316	gltA	754670	756213	-	192,5716137	gltA
324	cydAB	772828	775724	+	40,87580571	cydAB
332	gpmA	788387	789175	-	131,7026227	gpmA
401	clpA	924624	927083	+	40,08377389	clpA
406	infA	927706	928022	-	126,2637131	infA
418	pflB	952751	955394	-	144,3279102	pflB
423	focA-pflB	952751	956036	-	120,4746829	focA-pflB
429	cmk-rpsA	962709	965211	+	241,5533869	cmk-rpsA
430	rpsA-ihfB	963403	965655	+	736,8108348	rpsA-ihfB
432	ihfB	965293	965655	+	33,98842876	ihfB
439	ompF	987438	988635	-	210,9897971	ompF
449	fabA	1017496	1018041	-	43,61778996	fabA
451	ompA	1020557	1021730	-	772,5208866	ompA
522	yceD-rpmF	1149490	1150238	+	543,0142602	yceD-rpmF
524	rpmF-plsX-fabHDG	1150037	1154102	+	62,56419593	rpmF-plsX-fabHDG
525	plsX-fabHDG	1150276	1154102	+	44,71314943	plsX-fabHDG
526	fabHDG	1151215	1154102	+	50,66365058	fabHDG
528	acpP	1154274	1154585	+	280,6265299	acpP
527	acpP-fabF	1154274	1155878	+	89,12658804	acpP-fabF
529	ptsG	1160465	1162000	+	73,34527687	ptsG
583	hns	1295160	1295656	-	168,4435743	hns
584	adhE	1298145	1301007	-	52,73713021	adhE
601	topA	1333719	1336480	+	53,76494024	topA
626	fabI	1353087	1353953	-	79,24249423	fabI
638	tpx	1391141	1391679	-	57,21311581	tpx
672	aldA	1491026	1492506	+	66,0274635	aldA
758	slyB	1722613	1723178	+	203,4153392	slyB
768	sodB	1738159	1738949	+	39,86337473	sodB
775	pykF	1758499	1759945	+	83,64868603	pykF
779	lpp	1760219	1760492	+	369,7277167	lpp
789	ihfA	1798052	1798556	-	43,79134534	ihfA
798	thrS-infC-rpmI-rplT-pheMST-ihfA	1798089	1805568	-	81,30285641	thrS-infC-rpmI-rplT-pheMST-ihfA
793	rplT-pheM	1801997	1802598	-	191,1041232	rplT-pheM
794	rpmI-rplT	1802199	1803262	-	338,2661804	rpmI-rplT
795	infC-rpmI-rplT	1802199	1803653	-	296,2305684	infC-rpmI-rplT
792	rplT	1802199	1802598	-	287,1595361	rplT
796	infC	1802932	1804181	-	127,0391767	infC
797	thrS-infC	1802932	1805568	-	83,19299594	thrS-infC
831	gapA-yeaD	1865454	1867569	+	139,7405776	gapA-yeaD
826	gapA	1865571	1866601	+	767,4530744	gapA
834	mipA	1868562	1869341	-	34,22785084	mipA
849	manXYZ	1904769	1907581	+	46,6688004	manXYZ
851	yobF-cspC	1910062	1910452	-	286,1564103	yobF-cspC
861	eda	1934921	1935944	-	31,81524927	eda
866	pykA	1940380	1941926	+	51,38637344	pykA
879	aspS	1951498	1953452	-	31,81200955	aspS
998	mepS	2274376	2275000	+	101,9561966	mepS
1000	yejG	2282349	2282852	-	42,33134526	yejG
1003	rplY	2286896	2287291	+	42,58490733	rplY
1013	ompC	2316066	2317285	-	1349,018868	ompC
1018	rcsB	2320151	2321282	+	49,90480401	rcsB
1029	nuoABCEFGHIJKLMN	2395797	2411126	-	52,38856633	nuoABCEFGHIJKLMN
1035	ackA	2420027	2421239	+	41,75416682	ackA
1068	gltX	2525776	2527297	-	39,14661407	gltX
1080	ptsHI-crr	2540169	2542947	+	370,962803	ptsHI-crr
1085	crr	2542048	2542947	+	295,424175	crr
1090	ucpA	2550400	2551231	-	58,3726434	ucpA
1124	yfgM	2638441	2639179	-	50,73893406	yfgM
1152	rpoE-rseABC	2707100	2709864	-	41,55849011	rpoE-rseABC
1154	rseD-rpoE-rseABC	2707100	2709963	-	40,1655606	rseD-rpoE-rseABC
1159	grcA	2715844	2716283	-	102,4487472	grcA
1168	bamD	2735784	2736660	+	55,78576865	bamD
1170	raiA	2736882	2737272	+	264,5460779	raiA
1174	rpsP-rimM-trmD-rplS	2743961	2746031	-	262,7296622	rpsP-rimM-trmD-rplS
1176	grpE	2749893	2750524	-	44,56887961	grpE
1179	ssrA	2755364	2755732	+	1522,94985	ssrA
1198	proVWX	2804533	2807901	+	130,5321655	proVWX
1203	luxS	2813996	2814842	-	36,80181245	luxS
1206	csrA	2818739	2819150	-	167,5961071	csrA
1232	rpoS	2866337	2867895	-	116,0164741	rpoS
1237	nlpD-rpoS	2866337	2868559	-	84,78277828	nlpD-rpoS
1244	eno	2906421	2908623	-	184,448683	eno
1250	pyrG-eno	2906421	2909490	-	150,5480613	pyrG-eno
1260	csrB	2923944	2924301	-	759,7106042	csrB
1265	gcvB	2942474	2942677	+	672,3245586	gcvB
1300	ssrS	3055537	3056060	+	71,63479924	ssrS
1299	ssrS-fau	3055537	3056566	+	39,87172012	ssrS-fau
1313	pgk-fbaA	3069943	3072512	-	184,6226807	pgk-fbaA
1319	epd-pgk-fbaA	3069943	3073600	-	50,60790886	epd-pgk-fbaA
1312	pgk	3071209	3072512	-	159,7735994	pgk
1318	epd-pgk	3071209	3073600	-	36,91715208	epd-pgk
1320	tktA	3079422	3081484	-	46,91466735	tktA
1367	tolC-ygiABC	3177790	3181358	+	50,53353886	tolC-ygiABC
1384	rpsU	3210424	3210849	+	92,48850612	rpsU
1383	rpsU-dnaG-rpoD	3210490	3214739	+	59,60123951	rpsU-dnaG-rpoD
