TU_ID	Gene_name	Start	End	Strand	Expression_E	Description	
1	thrL	148	309	+	4,922400264	thrL	161
0	thrLABC	148	5019	+	3,751242338	thrLABC	4871
2	talB	8191	9225	+	66,5513903	talB	1034
3	mbiA	10643	11314	+	0,313959265	mbiA	671
5	dnaK-tpke11-dnaJ	12123	15297	+	126,7305188	dnaK-tpke11-dnaJ	3174
8	nhaAR	17458	19619	+	5,412926114	nhaAR	2161
890	insA-5AB-5B-5	19811	20518	-	1,490569407	insA-5AB-5B-5	707
10	rpsT	20771	21119	-	222,7969349	rpsT	348
12	ribF-ileS-lspA-fkpB-ispH	21383	27278	+	5,400889288	ribF-ileS-lspA-fkpB-ispH	5895
13	ileS-lspA-fkpB-ispH	21833	27278	+	14,86483012	ileS-lspA-fkpB-ispH	5445
16	lspA-fkpB-ispH	25014	27278	+	3,344683806	lspA-fkpB-ispH	2264
17	dapB	28343	29271	+	10,97090517	dapB	928
19	carAB	29619	34119	+	1,162962963	carAB	4500
21	carB	30775	34037	+	0,447491568	carB	3262
22	caiF	34218	34694	+	0,474854855	caiF	476
2141	caiCDE	34781	37823	-	0,135366629	caiCDE	3042
23	caiTABCDE	34781	42036	-	0,150695591	caiTABCDE	7255
24	fixABCX	42325	45749	+	0,048238538	fixABCX	3424
25	yaaU	45592	47137	+	0,035860523	yaaU	1545
26	folA	49799	50301	+	5,300870155	folA	502
27	apaGH	50380	52033	-	3,960114603	apaGH	1653
28	rsmA-apaGH	50380	52587	-	5,955241753	rsmA-apaGH	2207
2083	pdxA-rsmA-apaGH	50380	53415	-	5,285092111	pdxA-rsmA-apaGH	3035
2087	surA-pdxA-rsmA-apaGH	50380	54701	-	7,721805624	surA-pdxA-rsmA-apaGH	4321
2084	pdxA-rsmA	51609	53415	-	6,864099548	pdxA-rsmA	1806
31	lptD-surA-pdxA	52427	57335	-	11,60847216	lptD-surA-pdxA	4908
29	lptD	54755	57155	-	38,01986111	lptD	2400
32	rapA-rluA	59687	63357	-	3,160401359	rapA-rluA	3670
33	rapA	60358	63587	-	3,070954132	rapA	3229
34	polB	63429	65802	-	0,314572466	polB	2373
35	araBAD	65800	70074	-	0,076368771	araBAD	4274
36	araC	70241	71264	+	0,805141384	araC	1023
37	yabI	71271	72114	+	0,898083663	yabI	843
39	sgrR-sroA-tbpA-thiPQ	72229	77337	-	0,275182674	sgrR-sroA-tbpA-thiPQ	5108
38	sroA	75516	75607	-	0,592257297	sroA	91
40	sgrST-setA	77367	78798	+	10,87953477	sgrST-setA	1431
41	leuLABCD	78848	83734	-	1,230659026	leuLABCD	4886
42	leuL	83574	83734	-	0,483201645	leuL	160
44	leuO	84304	85311	+	0,364117842	leuO	1007
48	ilvIH	85600	87847	+	2,134994808	ilvIH	2247
52	cra	87947	89031	+	7,01955563	cra	1084
53	mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	89596	107473	+	6,652581578	mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	17877
54	rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	90010	107473	+	6,559719663	rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	17463
55	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	90688	107473	+	17,65455268	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	16785
57	ftsQ	102742	103984	+	6,344876418	ftsQ	1242
58	ftsQAZ	102867	106455	+	9,662312223	ftsQAZ	3588
59	ftsAZ	103561	106455	+	10,59136035	ftsAZ	2894
60	ftsZ	104636	106455	+	34,70111783	ftsZ	1819
63	lpxC	106508	107543	+	96,70853462	lpxC	1035
2109	yacG	111649	111845	-	3,742099953	yacG	196
65	ppdD-hofBC	114522	117704	-	0,259403536	ppdD-hofBC	3182
66	nadC	117752	118662	-	2,929374071	nadC	910
67	ampDE	118703	120134	+	1,075427328	ampDE	1431
68	aroP	120144	121649	-	2,508305648	aroP	1505
70	pdhR-aceEF-lpd	122034	129393	+	52,30377612	pdhR-aceEF-lpd	7359
71	aceEF	122969	127618	+	46,48990595	aceEF	4649
72	lpd	127717	129393	+	96,89134419	lpd	1676
73	acnB	131564	134211	+	64,30764387	acnB	2647
75	yacL	134339	134749	+	9,795839274	yacL	410
76	yacC-speED	134756	136939	-	14,81680281	yacC-speED	2183
77	cueO	137045	138632	+	0,608105928	cueO	1587
78	gcd	138801	141262	-	3,455099553	gcd	2461
